Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1nF","C_1206_3216Metric",109.982000,-29.464000,270.000000,top
"C2","1nF","C_1206_3216Metric",109.982000,-49.276000,270.000000,top
"C3","20p","C_0402_1005Metric",89.535000,-40.767000,90.000000,top
"C4","20p","C_0402_1005Metric",95.631000,-40.767000,270.000000,top
"C5","1nF","C_1206_3216Metric",120.396000,-44.072000,270.000000,top
"C6","1nF","C_1206_3216Metric",120.396000,-34.798000,270.000000,top
"C7","100n","C_0402_1005Metric",64.262000,-48.029000,90.000000,top
"C8","100n","C_0402_1005Metric",78.486000,-61.595000,0.000000,top
"C9","100n","C_0402_1005Metric",84.709000,-40.640000,0.000000,top
"C10","100n","C_0402_1005Metric",90.297000,-58.166000,270.000000,top
"C11","100n","C_0402_1005Metric",46.037500,-54.229000,270.000000,top
"FB3","Ferrite_Bead","L_0805_2012Metric",131.572000,-54.229000,270.000000,top
"R1","27k","R_0402_1005Metric",62.357000,-54.991000,180.000000,top
"R2","1M","R_0402_1005Metric",88.265000,-42.291000,315.000000,top
"R3","10k","R_0402_1005Metric",74.168000,-40.640000,180.000000,top
"R4","200R","R_0402_1005Metric",105.918000,-36.322000,270.000000,top
"R5","1k","R_0402_1005Metric",122.936000,-47.752000,0.000000,top
"R6","1k","R_0402_1005Metric",122.936000,-39.116000,0.000000,top
"R7","200R","R_0402_1005Metric",69.977000,-61.976000,270.000000,top
"T1","13F-39MNL","SOIC-16W-12_7.5x10.3mm_P1.27mm",112.776000,-39.500000,0.000000,top
"U1","RTL8019AS","PQFP-100_14x20mm_P0.65mm",77.406500,-51.435000,90.000000,top
"U2","74LS138","SOIC-16_3.9x9.9mm_P1.27mm",52.387500,-54.291000,90.000000,top
"Y1","20MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",92.519500,-40.767000,270.000000,top
